keyge,group,category,description
gene:100033438,genomic,gene,gene:100033438
gene:100033439,genomic,gene,gene:100033439
gene:100033440,genomic,gene,gene:100033440
gene:100033441,genomic,gene,gene:100033441
gene:100033442,genomic,gene,gene:100033442
gene:100033443,genomic,gene,gene:100033443
gene:100033444,genomic,gene,gene:100033444
gene:100033445,genomic,gene,gene:100033445
gene:100033446,genomic,gene,gene:100033446
gene:100033447,genomic,gene,gene:100033447
gene:100033448,genomic,gene,gene:100033448
gene:100033449,genomic,gene,gene:100033449
gene:100033450,genomic,gene,gene:100033450
gene:100033451,genomic,gene,gene:100033451
gene:100033453,genomic,gene,gene:100033453
gene:100033454,genomic,gene,gene:100033454
gene:100033455,genomic,gene,gene:100033455
gene:100033458,genomic,gene,gene:100033458
gene:100033459,genomic,gene,gene:100033459
gene:100033460,genomic,gene,gene:100033460
gene:100033462,genomic,gene,gene:100033462
gene:100033463,genomic,gene,gene:100033463
gene:100033464,genomic,gene,gene:100033464
gene:100033465,genomic,gene,gene:100033465
gene:100033466,genomic,gene,gene:100033466
gene:100033467,genomic,gene,gene:100033467
gene:100033468,genomic,gene,gene:100033468
gene:100033469,genomic,gene,gene:100033469
gene:100033470,genomic,gene,gene:100033470
gene:100033471,genomic,gene,gene:100033471
gene:100033472,genomic,gene,gene:100033472
gene:100033473,genomic,gene,gene:100033473
gene:100033477,genomic,gene,gene:100033477
gene:100033478,genomic,gene,gene:100033478
gene:100033479,genomic,gene,gene:100033479
gene:100033481,genomic,gene,gene:100033481
gene:100033483,genomic,gene,gene:100033483
gene:100033487,genomic,gene,gene:100033487
gene:100033488,genomic,gene,gene:100033488
gene:100033489,genomic,gene,gene:100033489
gene:100033490,genomic,gene,gene:100033490
gene:100033493,genomic,gene,gene:100033493
gene:100033499,genomic,gene,gene:100033499
gene:100033500,genomic,gene,gene:100033500
gene:100033501,genomic,gene,gene:100033501
gene:100033502,genomic,gene,gene:100033502
gene:100033503,genomic,gene,gene:100033503
gene:100033505,genomic,gene,gene:100033505
gene:100033506,genomic,gene,gene:100033506
gene:100033507,genomic,gene,gene:100033507
gene:100033510,genomic,gene,gene:100033510
gene:100033511,genomic,gene,gene:100033511
gene:100033512,genomic,gene,gene:100033512
gene:100033513,genomic,gene,gene:100033513
gene:100033514,genomic,gene,gene:100033514
gene:100033515,genomic,gene,gene:100033515
gene:100033516,genomic,gene,gene:100033516
gene:100033517,genomic,gene,gene:100033517
gene:100033518,genomic,gene,gene:100033518
gene:100033519,genomic,gene,gene:100033519
gene:100033525,genomic,gene,gene:100033525
gene:100033527,genomic,gene,gene:100033527
gene:100033528,genomic,gene,gene:100033528
gene:100033530,genomic,gene,gene:100033530
